,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
814,1.0,0,0,0,0,0,0,2019,0,1,0,30
815,1.0,0,0,0,0,0,0,2019,0,1,0,15
816,1.0,0,0,0,0,0,0,2019,0,1,0,40
817,1.0,0,0,0,0,0,0,2019,0,1,0,40
818,1.0,0,0,0,0,0,0,2019,0,1,0,60
819,1.0,0,0,0,0,0,0,2019,0,1,0,40
820,1.0,0,0,0,0,0,0,2019,0,1,0,30
822,1.0,0,0,0,0,0,0,2019,0,1,0,72
823,1.0,0,0,0,0,0,0,2019,0,1,0,50
825,1.0,0,0,0,0,0,0,2019,0,1,0,40
826,1.0,0,0,0,0,0,0,2019,0,1,0,70
827,1.0,0,0,0,0,0,0,2019,0,1,0,45
828,1.0,0,0,0,0,0,0,2019,0,1,0,43
831,1.0,0,0,0,0,0,0,2019,0,1,0,60
833,1.0,0,0,0,0,0,0,2019,0,1,0,40
837,1.0,0,0,0,0,0,0,2019,1,0,0,40
838,1.0,0,0,0,0,0,0,2019,0,1,0,35
839,1.0,0,0,0,0,0,0,2019,0,1,0,40
840,1.0,0,0,0,0,0,0,2019,0,1,0,50
844,1.0,0,0,0,0,0,0,2019,0,1,0,60
846,1.0,0,0,0,0,0,0,2019,0,1,0,30
853,1.0,0,0,0,0,0,0,2019,0,1,0,40
854,1.0,0,0,0,0,0,0,2019,0,1,0,40
855,1.0,0,0,0,0,0,0,2019,0,1,0,50
856,1.0,0,0,0,0,0,0,2019,0,1,0,40
859,1.0,0,0,0,0,0,0,2019,0,1,0,35
863,1.0,0,0,0,0,0,0,2019,0,1,0,36
866,1.0,0,0,0,0,0,0,2019,0,1,0,40
870,1.0,0,0,0,0,0,0,2019,0,1,0,25
871,1.0,0,0,0,0,0,0,2019,0,1,0,40
872,1.0,0,0,0,0,0,0,2019,0,1,0,40
873,1.0,0,0,0,0,0,0,2019,0,1,0,24
875,1.0,0,0,0,0,0,0,2019,0,1,0,40
876,1.0,0,0,0,0,0,0,2019,0,1,0,40
881,1.0,0,0,0,0,0,0,2019,0,1,0,50
882,1.0,0,0,0,0,0,0,2019,0,1,0,10
884,1.0,0,0,0,0,0,0,2019,0,1,0,36
885,1.0,0,0,0,0,0,0,2019,0,1,0,40
888,1.0,0,0,0,0,0,0,2019,0,1,0,40
889,1.0,0,0,0,0,0,0,2019,0,1,0,40
890,1.0,0,0,0,0,0,0,2019,0,1,0,20
891,1.0,0,0,0,0,0,0,2019,0,1,0,60
892,1.0,0,0,0,0,0,0,2019,0,1,0,40
893,1.0,0,0,0,0,0,0,2019,0,1,0,40
897,1.0,0,0,0,0,0,0,2019,0,1,0,20
903,1.0,0,0,0,0,0,0,2019,1,0,0,40
904,1.0,0,0,0,0,0,0,2019,0,1,0,40
905,1.0,0,0,0,0,0,0,2019,0,1,0,40
906,1.0,0,0,0,0,0,0,2019,0,1,0,40
909,1.0,0,0,0,0,0,0,2019,0,1,0,49
911,1.0,0,0,0,0,0,0,2019,0,1,0,35
912,1.0,0,0,0,0,0,0,2019,0,1,0,50
